DATASET,SIZE,DIM,SOURCE,TARGET,SPLIT,MEASURE,METHOD,METHOD2,meandiff,p-adj,lower,upper,reject
lj,121-125,32,node2vec,DistMult,test,MRR,source,source2target,0.0,0.9,-0.0175,0.0175,False
orkut,351-355,32,node2vec,TransD,test,MRR,source,source2target,0.0536,0.001,0.0385,0.0687,True
lj,121-125,32,deepWalk,SimplE,test,MRR,source,source2target,0.0001,0.9,-0.009,0.0092,False
youtube,16-20,32,deepWalk,TransD,test,MRR,source,source2target,0.1906,0.001,0.1248,0.2563,True
lj,121-125,32,node2vec,TransH,test,MRR,source,source2target,0.0887,0.001,0.0611,0.1164,True
youtube,16-20,32,node2vec,TransD,test,MRR,source,source2target,0.1344,0.001,0.0654,0.2035,True
youtube,16-20,32,node2vec,TransE,test,MRR,source,source2target,0.1469,0.001,0.076,0.2177,True
lj,121-125,32,deepWalk,DistMult,test,MRR,source,source2target,0.0001,0.9,-0.0173,0.0174,False
orkut,351-355,32,node2vec,SimplE,test,MRR,source,source2target,0.0,0.9,-0.0141,0.0141,False
orkut,351-355,32,node2vec,TransE,test,MRR,source,source2target,0.0652,0.001,0.048,0.0824,True
orkut,351-355,32,deepWalk,RESCAL,test,MRR,source,source2target,0.0712,0.001,0.0538,0.0885,True
lj,121-125,32,deepWalk,TransH,test,MRR,source,source2target,0.0794,0.001,0.0517,0.1072,True
orkut,351-355,32,deepWalk,SimplE,test,MRR,source,source2target,0.0,0.9,-0.0142,0.0142,False
lj,121-125,32,deepWalk,TransE,test,MRR,source,source2target,0.0823,0.001,0.0553,0.1092,True
lj,121-125,32,node2vec,TransE,test,MRR,source,source2target,0.0878,0.001,0.062,0.1135,True
orkut,351-355,32,node2vec,TransH,test,MRR,source,source2target,0.0659,0.001,0.0488,0.0829,True
youtube,16-20,32,deepWalk,TransE,test,MRR,source,source2target,0.2033,0.001,0.1374,0.2693,True
youtube,16-20,32,node2vec,SimplE,test,MRR,source,source2target,-0.0002,0.9,-0.0286,0.0281,False
orkut,351-355,32,node2vec,RESCAL,test,MRR,source,source2target,0.0751,0.001,0.0586,0.0916,True
orkut,351-355,32,deepWalk,TransH,test,MRR,source,source2target,0.0844,0.001,0.0663,0.1025,True
lj,121-125,32,deepWalk,TransD,test,MRR,source,source2target,0.0771,0.001,0.0524,0.1019,True
youtube,16-20,32,node2vec,DistMult,test,MRR,source,source2target,-0.0004,0.9,-0.0295,0.0287,False
orkut,351-355,32,node2vec,DistMult,test,MRR,source,source2target,-0.0,0.9,-0.014,0.014,False
orkut,351-355,32,deepWalk,DistMult,test,MRR,source,source2target,-0.0,0.9,-0.0144,0.0144,False
youtube,16-20,32,deepWalk,TransH,test,MRR,source,source2target,0.208,0.001,0.1414,0.2745,True
youtube,16-20,32,node2vec,TransH,test,MRR,source,source2target,0.1473,0.001,0.0777,0.2169,True
lj,121-125,32,node2vec,SimplE,test,MRR,source,source2target,0.0,0.9,-0.0097,0.0098,False
orkut,351-355,32,deepWalk,TransD,test,MRR,source,source2target,0.0582,0.001,0.0434,0.0731,True
lj,121-125,32,node2vec,TransD,test,MRR,source,source2target,0.0802,0.001,0.0554,0.105,True
orkut,351-355,32,deepWalk,TransE,test,MRR,source,source2target,0.0816,0.001,0.0636,0.0996,True
youtube,16-20,32,deepWalk,DistMult,test,MRR,source,source2target,-0.0001,0.9,-0.0295,0.0292,False
lj,121-125,32,deepWalk,RESCAL,test,MRR,source,source2target,0.0785,0.001,0.0346,0.1224,True
lj,121-125,32,node2vec,RESCAL,test,MRR,source,source2target,0.0784,0.001,0.0334,0.1234,True
lj,121-125,32,node2vec,DistMult,test,MRR,source,target,-0.0309,0.001,-0.0483,-0.0134,True
youtube,16-20,32,node2vec,RESCAL,test,MRR,source,source2target,0.0038,0.9,-0.0542,0.0619,False
youtube,16-20,32,deepWalk,RESCAL,test,MRR,source,source2target,0.0188,0.7891,-0.0361,0.0737,False
youtube,16-20,32,deepWalk,SimplE,test,MRR,source,source2target,-0.0001,0.9,-0.0296,0.0295,False
lj,121-125,32,deepWalk,SimplE,test,MRR,source,target,-0.0326,0.001,-0.0417,-0.0235,True
orkut,351-355,32,node2vec,TransD,test,MRR,source,target,0.0496,0.001,0.0345,0.0647,True
youtube,16-20,32,deepWalk,TransD,test,MRR,source,target,0.2034,0.001,0.1377,0.2691,True
lj,121-125,32,node2vec,TransH,test,MRR,source,target,0.09,0.001,0.0623,0.1176,True
youtube,16-20,32,node2vec,TransD,test,MRR,source,target,0.1478,0.001,0.0788,0.2169,True
lj,121-125,32,deepWalk,DistMult,test,MRR,source,target,-0.0319,0.001,-0.0493,-0.0146,True
youtube,16-20,32,node2vec,TransE,test,MRR,source,target,0.1442,0.001,0.0734,0.2151,True
orkut,351-355,32,node2vec,SimplE,test,MRR,source,target,-0.0196,0.0023,-0.0337,-0.0054,True
orkut,351-355,32,node2vec,TransE,test,MRR,source,target,0.0547,0.001,0.0375,0.0719,True
orkut,351-355,32,deepWalk,RESCAL,test,MRR,source,target,0.0262,0.001,0.0088,0.0436,True
lj,121-125,32,deepWalk,TransH,test,MRR,source,target,0.084,0.001,0.0563,0.1118,True
orkut,351-355,32,deepWalk,SimplE,test,MRR,source,target,-0.0279,0.001,-0.0421,-0.0137,True
lj,121-125,32,deepWalk,TransE,test,MRR,source,target,0.0799,0.001,0.0529,0.1069,True
lj,121-125,32,node2vec,TransE,test,MRR,source,target,0.0858,0.001,0.0601,0.1115,True
orkut,351-355,32,node2vec,TransH,test,MRR,source,target,0.0548,0.001,0.0377,0.0718,True
youtube,16-20,32,deepWalk,TransE,test,MRR,source,target,0.2056,0.001,0.1396,0.2716,True
youtube,16-20,32,node2vec,SimplE,test,MRR,source,target,0.004,0.9,-0.0244,0.0324,False
orkut,351-355,32,node2vec,RESCAL,test,MRR,source,target,0.0214,0.0051,0.0049,0.0378,True
orkut,351-355,32,deepWalk,TransH,test,MRR,source,target,0.0578,0.001,0.0397,0.0759,True
lj,121-125,32,deepWalk,TransD,test,MRR,source,target,0.0856,0.001,0.0609,0.1104,True
youtube,16-20,32,node2vec,DistMult,test,MRR,source,target,0.0043,0.9,-0.0249,0.0334,False
orkut,351-355,32,node2vec,DistMult,test,MRR,source,target,-0.0197,0.0018,-0.0337,-0.0057,True
orkut,351-355,32,deepWalk,DistMult,test,MRR,source,target,-0.0281,0.001,-0.0425,-0.0136,True
youtube,16-20,32,deepWalk,TransH,test,MRR,source,target,0.2185,0.001,0.1519,0.285,True
youtube,16-20,32,node2vec,TransH,test,MRR,source,target,0.1545,0.001,0.0849,0.2241,True
lj,121-125,32,node2vec,SimplE,test,MRR,source,target,-0.0315,0.001,-0.0412,-0.0217,True
