DATASET,SIZE,DIM,SOURCE,TARGET,SPLIT,MEASURE,METHOD,mean,iqr,cilo,cihi,whishi,whislo,q1,med,q3
youtube,16-20,32,deepWalk,SimplE,test,MRR,source,0.16962129411764706,0.08853849999999999,0.1504536137567357,0.1841673862432643,0.300099,0.077733,0.12284975000000001,0.1673105,0.21138825
youtube,16-20,32,deepWalk,SimplE,test,MRR,source2target,0.16956608823529412,0.08853849999999999,0.1504536137567357,0.1841673862432643,0.300099,0.077733,0.12284975000000001,0.1673105,0.21138825
youtube,16-20,32,deepWalk,SimplE,test,MRR,transformed,0.2188353235294118,0.11555850000000001,0.17962426337477755,0.22362673662522248,0.425568,0.077572,0.14800175,0.2016255,0.26356025
youtube,16-20,32,deepWalk,SimplE,test,MRR,target,0.1853777205882353,0.06703550000000003,0.16806907993968334,0.19359492006031664,0.279762,0.077832,0.145194,0.180832,0.21222950000000002
youtube,16-20,32,deepWalk,SimplE,test,MR,source,8.511087205882353,3.247222,7.643664891339641,8.88014510866036,13.375,5.25,6.76666675,8.261905,10.01388875
youtube,16-20,32,deepWalk,SimplE,test,MR,source2target,8.518265088235294,3.247222,7.643664891339641,8.88014510866036,13.375,5.25,6.76666675,8.261905,10.01388875
youtube,16-20,32,deepWalk,SimplE,test,MR,transformed,8.730349735294116,3.00833275,8.377242126886761,9.522757873113237,13.700001,2.8,7.19166675,8.95,10.1999995
youtube,16-20,32,deepWalk,SimplE,test,MR,target,8.178292352941176,1.9562500000000007,7.773382151565299,8.518284848434702,11.125,5.166667,7.074999999999999,8.1458335,9.03125
youtube,16-20,32,deepWalk,SimplE,test,Hit@10,source,0.6724062941176472,0.21676125000000013,0.6253977246768606,0.7079362753231394,1.0,0.333333,0.58636375,0.666667,0.8031250000000001
youtube,16-20,32,deepWalk,SimplE,test,Hit@10,source2target,0.6724062941176472,0.21676125000000013,0.6253977246768606,0.7079362753231394,1.0,0.333333,0.58636375,0.666667,0.8031250000000001
youtube,16-20,32,deepWalk,SimplE,test,Hit@10,transformed,0.5993424411764705,0.19999999999999996,0.5619219068692957,0.6380780931307043,0.928571,0.25,0.5,0.6,0.7
youtube,16-20,32,deepWalk,SimplE,test,Hit@10,target,0.6915454558823529,0.2031250000000001,0.6613269366641285,0.7386730633358715,1.0,0.3,0.6,0.7,0.8031250000000001
youtube,16-20,32,deepWalk,SimplE,test,Hit@3,source,0.15542851470588234,0.25,0.06490238358661965,0.16009761641338036,0.625,0.0,0.0,0.1125,0.25
youtube,16-20,32,deepWalk,SimplE,test,Hit@3,source2target,0.15542851470588234,0.25,0.06490238358661965,0.16009761641338036,0.625,0.0,0.0,0.1125,0.25
youtube,16-20,32,deepWalk,SimplE,test,Hit@3,transformed,0.2520891764705882,0.22222199999999998,0.20769104994154317,0.2923089500584568,0.666667,0.0,0.12152775,0.25,0.34374974999999997
youtube,16-20,32,deepWalk,SimplE,test,Hit@3,target,0.20966519117647062,0.20312499999999997,0.16132693666412848,0.23867306333587154,0.5,0.0,0.1,0.2,0.303125
youtube,16-20,32,deepWalk,SimplE,test,Hit@1,source,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
youtube,16-20,32,deepWalk,SimplE,test,Hit@1,source2target,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
youtube,16-20,32,deepWalk,SimplE,test,Hit@1,transformed,0.04516011764705882,0.08749975000000002,-0.01665911814706671,0.01665911814706671,0.2,0.0,0.0,0.0,0.08749975000000002
youtube,16-20,32,deepWalk,SimplE,test,Hit@1,target,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
youtube,16-20,32,node2vec,TransH,test,MRR,source,0.2305889117647059,0.12844875,0.16894508267488725,0.21785591732511275,0.465822,0.093148,0.152908,0.1934005,0.28135675
youtube,16-20,32,node2vec,TransH,test,MRR,source2target,0.37788336764705877,0.2535805,0.2905626905243472,0.38712130947565276,0.783333,0.116088,0.26282574999999997,0.338842,0.51640625
youtube,16-20,32,node2vec,TransH,test,MRR,transformed,0.43583194117647056,0.24650249999999996,0.3644882742402429,0.45835172575975713,0.916667,0.115451,0.302744,0.41142,0.5492465
youtube,16-20,32,node2vec,TransH,test,MRR,target,0.38509766176470583,0.21305900000000005,0.31445709777832637,0.3955859022216736,0.778571,0.125426,0.26794924999999997,0.3550215,0.48100825
youtube,16-20,32,node2vec,TransH,test,MR,source,7.94360569117647,3.087499749999999,7.412169484892369,8.587830515107632,12.0,2.0,6.412500250000001,8.0,9.5
youtube,16-20,32,node2vec,TransH,test,MR,source2target,5.59958569117647,2.668750000000001,5.357966944787165,6.3741760552128355,9.625,1.0,4.25625,5.8660715,6.925000000000001
youtube,16-20,32,node2vec,TransH,test,MR,transformed,5.163712220588235,3.2875000000000005,4.374091344164048,5.625908655835952,11.0,1.0,3.2749999999999995,5.0,6.5625
youtube,16-20,32,node2vec,TransH,test,MR,target,5.4886350588235295,2.6107145000000003,5.0029448506566,5.9970551493434,9.5,1.0,4.125,5.5,6.7357145
youtube,16-20,32,node2vec,TransH,test,Hit@10,source,0.7054725294117647,0.2924104999999999,0.644327828743021,0.7556721712569789,1.0,0.357143,0.546875,0.7,0.8392854999999999
youtube,16-20,32,node2vec,TransH,test,Hit@10,source2target,0.8513562794117648,0.22916650000000005,0.8313688833528122,0.9186311166471878,1.0,0.5,0.7708335,0.875,1.0
youtube,16-20,32,node2vec,TransH,test,Hit@10,transformed,0.8568884705882354,0.19999999999999996,0.8369219068692957,0.9130780931307043,1.0,0.6,0.8,0.875,1.0
youtube,16-20,32,node2vec,TransH,test,Hit@10,target,0.8536234411764707,0.22916650000000005,0.8313688833528122,0.9186311166471878,1.0,0.5,0.7708335,0.875,1.0
